rank,channel_name,no_of_videos,no_of_subscribers,total_views,category
#137,T-Series Apna Punjab,8.5K,36.6M,23.62B, Kids                   
#138,BabyBus - Kids Songs and Cartoons,2.44K,36.5M,28.69B, Music                  
#139,WowKidz,7.67K,36.5M,19.09B, Entertainment          
#140,KAROL G,161,36.4M,23.88B, Entertainment          
#141,Rajshri,4.37K,36.2M,16.56B, Entertainment          
#142,Enaldinho,4.3K,36.2M,15.58B, Kids                   
#143,Junya.じゅんや,8.34K,36M,21.74B, Kids                   
#144,Galinha Pintadinha,65,35.9M,32.4B, News                   
#145,CVS 3D Rhymes & Kids Songs,338,35.8M,21.71B, Entertainment          
#146,Zee News,174.48K,35.8M,21.2B, Entertainment          
#147,Heroindori,653,35.8M,12.91B, Kids                   
#148,GMA  Network,137.83K,35.4M,27.37B, Kids                   
#149,Peppa Pig - Official Channel,6.45K,35.4M,25.89B, Music                  
#150,LeoNata Family,3.32K,35.3M,37.65B, Music                  
#151,Geet MP3,739,35.3M,13.72B, Entertainment          
#152,The Weeknd,172,35.2M,27.43B, Entertainment          
#153,Ch3Thailand,79.37K,35M,22.81B, Music                  
#154,Lucas and Marcus,1.77K,35M,14.32B, Entertainment          
#155,DisneyMusicVEVO,2.3K,34.8M,31.98B, Music                  
#156,Spider Slack,1.24K,34.8M,19.5B, Kids                   
#157,Worldwide Records Bhojpuri,7.19K,34.7M,18.11B, Music                  
#158,★ Kids Roma Show,713,34.7M,13.92B, Gaming/Entertainment   
#159,Selena Gomez,193,34.6M,14B, Music                  
#160,SSSniperWolf,3.58K,34.4M,25.06B, Entertainment          
#161,J Balvin,210,34.3M,24B, Entertainment          
#162,Zhong,1.74K,34.3M,16.84B, Gaming/Entertainment   
#163,Priyal Kukreja,1.07K,34.1M,20.45B, Music                  
#164,VEGETTA777,7.98K,34.1M,15.79B, Music                  
#165,Eros Now Music,9.73K,34M,17.72B, Entertainment          
#166,,1.06K,33.9M,13.72B, Entertainment          
#167,Desi Music Factory,193,33.9M,10.61B, Music                  
#168,Zach King,643,33.8M,13.06B, Entertainment          
#169,KHANDESHI MOVIES,234,33.8M,11.72B, Kids                   
#170,NoCopyrightSounds,1.67K,33.7M,11.12B, Music                  
#171,Beast Reacts,238,33.7M,6.07B, Entertainment          
#172,Masha y el Oso,1.37K,33.5M,16.49B, Gaming/Entertainment   
#173,Juan De Dios Pantoja,376,33.5M,3.78B, Entertainment          
#174,Dangal TV Channel,31.1K,33.4M,22.77B, Entertainment          
#175,rezendeevil,12.17K,33.4M,13.46B, Entertainment          
#176,mujjuu___14,1.07K,33.3M,18.66B, Entertainment          
#177,Mr Bean,3.48K,33.3M,11.21B, Movies                 
#178,Round2hell,68,33.3M,3.42B, Music                  
#179,DONA 도나,173,32.8M,22.29B, Entertainment          
#180,Aditya Movies,7.7K,32.8M,12.62B, Entertainment          
#181,Jason Derulo,3.19K,32.7M,23.4B, Entertainment          
#182,व्लाद और निकिता,618,32.7M,19.17B, Music                  
